Date,Colony,Ant ID,Time,Junction,Entered From,Exited Toward,Turn Type (L/R/U),Choice (W/N),Action (inspect/ignore),
6/23/21,21-SP3,4B,,22,,,,,,
6/23/21,21-SP3,4B,,20,,,,,,
6/23/21,21-SP3,4B,,21,,211,,,,
6/23/21,21-SP3,4B,,21,,,,,,
6/23/21,21-SP3,4B,,20,,,,,,
6/23/21,21-SP3,4B,,2,,,,,,
6/23/21,21-SP3,4B,,20,,,,,,
6/23/21,21-SP3,4B,,2,,,,,,
6/23/21,21-SP3,4B,,4,,,,,,
6/23/21,21-SP3,4B,,6,,8,,,,
6/23/21,21-SP3,4B,,6,,,,,,
6/23/21,21-SP3,4B,,4,,,,,,
6/23/21,21-SP3,4B,,40,,,,,,
6/23/21,21-SP3,4B,,4,,,,,,
6/23/21,21-SP3,4B,,2,,,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,,1,,,,,,
6/23/21,21-SP3,4B,,0,,,,,,
6/23/21,21-SP3,4B,16:40,-1,,,,,,
6/24/21,21-SP3,5A,14:32,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5A,14:35,0,,2,,,,
6/24/21,21-SP3,5A,,0,,1,,,,
6/24/21,21-SP3,5A,,0,,2,,,,
6/24/21,21-SP3,5A,,0,,1,,,,
6/24/21,21-SP3,5A,,0,,2,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,1,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5A,,0,,2,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,1,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,20,,,,,,
6/24/21,21-SP3,5A,,2,,0,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,20,,22,,,,
6/24/21,21-SP3,5A,,20,,21,,,,
6/24/21,21-SP3,5A,,20,,,,,,
6/24/21,21-SP3,5A,,2,,4,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,1,,0,,,,
6/24/21,21-SP3,5A,,1,,3,,,,
6/24/21,21-SP3,5A,,1,,,,,,
6/24/21,21-SP3,5A,,10,,1,,,,
6/24/21,21-SP3,5A,,10,,,,,,
6/24/21,21-SP3,5A,,11,,,,,,
6/24/21,21-SP3,5A,,10,,12,,,,
6/24/21,21-SP3,5A,,10,,,,,,
6/24/21,21-SP3,5A,,1,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5A,14:42,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,20,,,,,,
6/24/21,21-SP3,5A,,22,,,,,,
6/24/21,21-SP3,5A,,222,,,,,,
6/24/21,21-SP3,5A,,2221,,,,,inspect,
6/24/21,21-SP3,5A,,222,,22,,,,
6/24/21,21-SP3,5A,,222,,,,,,
6/24/21,21-SP3,5A,,22,,,,,,
6/24/21,21-SP3,5A,,20,,,,,,
6/24/21,21-SP3,5A,,2,,0,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,4,,,,,,
6/24/21,21-SP3,5A,,6,,,,,,
6/24/21,21-SP3,5A,,60,,,,,,
6/24/21,21-SP3,5A,,61,,,,,,
6/24/21,21-SP3,5A,,60,,,,,,
6/24/21,21-SP3,5A,,62,,,,,,
6/24/21,21-SP3,5A,,60,,,,,,
6/24/21,21-SP3,5A,,6,,,,,,
6/24/21,21-SP3,5A,,4,,,,,,
6/24/21,21-SP3,5A,,40,,,,,,
6/24/21,21-SP3,5A,,42,,,,,,
6/24/21,21-SP3,5A,,421,,,,,,
6/24/21,21-SP3,5A,,42,,,,,,
6/24/21,21-SP3,5A,,422,,,,,,
6/24/21,21-SP3,5A,,42,,,,,,
6/24/21,21-SP3,5A,,40,,,,,,
6/24/21,21-SP3,5A,,41,,,,,,
6/24/21,21-SP3,5A,,40,,,,,,
6/24/21,21-SP3,5A,,4,,,,,,
6/24/21,21-SP3,5A,,2,,,,,,
6/24/21,21-SP3,5A,,0,,1,,,,
6/24/21,21-SP3,5A,,0,,,,,,
6/24/21,21-SP3,5A,,-1,,,,,,
6/24/21,21-SP3,5B,14:52,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,2,,,,,,
6/24/21,21-SP3,5B,,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,2,,,,,,
6/24/21,21-SP3,5B,,20,,,,,,
6/24/21,21-SP3,5B,,21,,211,,,,
6/24/21,21-SP3,5B,,21,,,,,,
6/24/21,21-SP3,5B,,20,,,,,,
6/24/21,21-SP3,5B,,2,,,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,-1,,,,,,
6/24/21,21-SP3,5B,,0,,2,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,-1,,,,,,
6/24/21,21-SP3,5B,14:59,0,,2,,,,
6/24/21,21-SP3,5B,,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,-1,,,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,1,,,,,,
6/24/21,21-SP3,5B,,10,,12,,,,
6/24/21,21-SP3,5B,,10,,,,,,
6/24/21,21-SP3,5B,,11,,111,,,,
6/24/21,21-SP3,5B,,11,,,,,,
6/24/21,21-SP3,5B,,10,,1,,,,
6/24/21,21-SP3,5B,,10,,12,,,,
6/24/21,21-SP3,5B,,10,,11,,,,
6/24/21,21-SP3,5B,,10,,,,,,
6/24/21,21-SP3,5B,,1,,,,,,
6/24/21,21-SP3,5B,,3,,,,,,
6/24/21,21-SP3,5B,,1,,,,,,
6/24/21,21-SP3,5B,,0,,-1,,,,
6/24/21,21-SP3,5B,,0,,,,,,
6/24/21,21-SP3,5B,,-1,,,,,,
6/24/21,21-SP3,5B,,,,,,,,
6/24/21,21-SP3,5B,,,,,,,,
6/24/21,21-SP3,6A,15:25,0,,,,,,
6/24/21,21-SP3,6A,,2,,4,,,,
6/24/21,21-SP3,6A,,2,,,,,,
6/24/21,21-SP3,6A,,0,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,,0,,,,,,
6/24/21,21-SP3,6A,,2,,20,,,,
6/24/21,21-SP3,6A,,2,,0,,,,
6/24/21,21-SP3,6A,,2,,,,,,
6/24/21,21-SP3,6A,,20,,,,,,
6/24/21,21-SP3,6A,,22,,,,,,
6/24/21,21-SP3,6A,,222,,,,,,
6/24/21,21-SP3,6A,,22,,,,,,
6/24/21,21-SP3,6A,,20,,,,,,
6/24/21,21-SP3,6A,,2,,,,,,
6/24/21,21-SP3,6A,15:28,0,,,,,,
6/24/21,21-SP3,6A,,-1,,,,,,
6/24/21,21-SP3,6A,15:31,0,,,,,,
6/24/21,21-SP3,6A,,2,,20,,,,
6/24/21,21-SP3,6A,,2,,,,,,
6/24/21,21-SP3,6A,,4,,6,,,,
6/24/21,21-SP3,6A,,4,,,,,,
6/24/21,21-SP3,6A,,2,,,,,,
6/24/21,21-SP3,6A,,0,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,,3,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,,0,,,,,,
6/24/21,21-SP3,6A,15:34,-1,,,,,,
6/24/21,21-SP3,6A,15:36,0,,1,,,,
6/24/21,21-SP3,6A,,0,,1,,,,
6/24/21,21-SP3,6A,,0,,2,,,,
6/24/21,21-SP3,6A,,0,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,,10,,,,,,
6/24/21,21-SP3,6A,,12,,,,,,
6/24/21,21-SP3,6A,,122,,,,,,
6/24/21,21-SP3,6A,,12,,,,,,
6/24/21,21-SP3,6A,,10,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,15:38,0,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,,3,,,,,,
6/24/21,21-SP3,6A,,30,,,,,,
6/24/21,21-SP3,6A,,32,,321,,,,
6/24/21,21-SP3,6A,,32,,,,,,
6/24/21,21-SP3,6A,,322,,,,,inspect (tag),
6/24/21,21-SP3,6A,,32,,,,,,
6/24/21,21-SP3,6A,,30,,,,,,
6/24/21,21-SP3,6A,,3,,,,,,
6/24/21,21-SP3,6A,,5,,,,,,
6/24/21,21-SP3,6A,,7,,,,,,
6/24/21,21-SP3,6A,,72,,,,,,
6/24/21,21-SP3,6A,,71,,,,,inspect (trunk),
6/24/21,21-SP3,6A,,7,,,,,,
6/24/21,21-SP3,6A,,5,,50,,,,
6/24/21,21-SP3,6A,,5,,,,,,
6/24/21,21-SP3,6A,,50,,,,,,
6/24/21,21-SP3,6A,,52,,,,,inspect,
6/24/21,21-SP3,6A,,50,,,,,,
6/24/21,21-SP3,6A,,51,,,,,,
6/24/21,21-SP3,6A,,50,,,,,,
6/24/21,21-SP3,6A,,5,,,,,,
6/24/21,21-SP3,6A,,3,,,,,,
6/24/21,21-SP3,6A,,1,,,,,,
6/24/21,21-SP3,6A,15:44,0,,,,,end of video,
6/24/21,21-SP3,6B,15:49,0,,,,,,
6/24/21,21-SP3,6B,,-1,,,,,,
6/24/21,21-SP3,6B,15:52,0,,,,,,
6/24/21,21-SP3,6B,,-1,,,,,,
6/24/21,21-SP3,6B,,0,,,,,,
6/24/21,21-SP3,6B,15:54,2,,,,,,
6/24/21,21-SP3,6B,,4,,,,,sniffed both ways,
6/24/21,21-SP3,6B,,2,,,,,,
6/24/21,21-SP3,6B,,0,,-1,,,,
6/24/21,21-SP3,6B,,0,,,,,,
6/24/21,21-SP3,6B,,1,,10,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,0,,,,,,
6/24/21,21-SP3,6B,,-1,,,,,,
6/24/21,21-SP3,6B,15:57,0,,,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,3,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,,51,,,,,inspect (vitamin and water),
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,,52,,,,,,
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,71,,,,,inspect (trunk),
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,16:00,72,,,,,"inspect (nest, went all the way inside and down the tube)",
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,72,,,,,,
6/24/21,21-SP3,6B,,7,,71,,,,
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,3,,,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,10,,,,,,
6/24/21,21-SP3,6B,,11,,,,,,
6/24/21,21-SP3,6B,,10,,12,,,,
6/24/21,21-SP3,6B,,10,,,,,,
6/24/21,21-SP3,6B,,1,,0,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,3,,5,,,,
6/24/21,21-SP3,6B,,3,,1,,,,
6/24/21,21-SP3,6B,,3,,30,,,,
6/24/21,21-SP3,6B,,3,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,16:03,51,,,,,inspect (2nd time),
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,,52,,,,,,
6/24/21,21-SP3,6B,,50,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,7,,5,,,,
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,72,,,,,,
6/24/21,21-SP3,6B,,7,,71,,,,
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,72,,,,,,
6/24/21,21-SP3,6B,,7,,,,,,
6/24/21,21-SP3,6B,,5,,,,,,
6/24/21,21-SP3,6B,,3,,,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,10,,,,,,
6/24/21,21-SP3,6B,,12,,,,,,
6/24/21,21-SP3,6B,,10,,,,,,
6/24/21,21-SP3,6B,,1,,,,,,
6/24/21,21-SP3,6B,,0,,,,,,
6/24/21,21-SP3,6B,16:06,-1,,,,,,
6/24/21,21-SP3,7A,16:22,0,,,,,,
6/24/21,21-SP3,7A,,-1,,,,,,
6/24/21,21-SP3,7A,16:26,0,,2,,,,
6/24/21,21-SP3,7A,,0,,1,,,,
6/24/21,21-SP3,7A,,0,,,,,,
6/24/21,21-SP3,7A,,2,,20,,,,
6/24/21,21-SP3,7A,,2,,4,,,,
6/24/21,21-SP3,7A,,2,,,,,,
6/24/21,21-SP3,7A,,0,,,,,,
6/24/21,21-SP3,7A,,1,,,,,,
6/24/21,21-SP3,7A,,0,,,,,,
6/24/21,21-SP3,7A,,-1,,,,,,
6/24/21,21-SP3,7A,16:29,0,,,,,,
6/24/21,21-SP3,7A,,-1,,,,,,
6/24/21,21-SP3,7A,16:31,0,,,,,,
6/24/21,21-SP3,7A,,1,,10,,,,
6/24/21,21-SP3,7A,,1,,,,,,
6/24/21,21-SP3,7A,,3,,5,,,,
6/24/21,21-SP3,7A,,3,,,,,,
6/24/21,21-SP3,7A,,1,,10,,,,
6/24/21,21-SP3,7A,,1,,,,,,
6/24/21,21-SP3,7A,,0,,,,,,
6/24/21,21-SP3,7A,,-1,,,,,,
6/24/21,21-SP3,7A,16:32,0,,,,,,
6/24/21,21-SP3,7A,,2,,20,,,,
6/24/21,21-SP3,7A,,2,,,,,,
6/24/21,21-SP3,7A,,4,,,,,,
6/24/21,21-SP3,7A,,40,,,,,,
6/24/21,21-SP3,7A,,4,,,,,,
6/24/21,21-SP3,7A,,6,,8,,,,
6/24/21,21-SP3,7A,,6,,,,,,
6/24/21,21-SP3,7A,,60,,,,,,
6/24/21,21-SP3,7A,,61,,,,,inspect (vitamin),
6/24/21,21-SP3,7A,,60,,,,,,
6/24/21,21-SP3,7A,,62,,,,,,
6/24/21,21-SP3,7A,,60,,,,,,
6/24/21,21-SP3,7A,,6,,,,,,
6/24/21,21-SP3,7A,,4,,,,,,
6/24/21,21-SP3,7A,,2,,,,,,
