"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"56","6/21/21","21-SP3","1B","1","B",NA,"211",NA,NA,NA,FALSE,1,"21","2111","main",0.34,"wide","left",0.34,"wide","L","W","away.from.trunk"
"57","6/21/21","21-SP3","1B","1","B",NA,"211",NA,NA,NA,FALSE,1,"2111","21","left",0.34,"wide","main",0.34,"wide","R","W","to.trunk"
"58","6/21/21","21-SP3","1B","1","B",NA,"21",NA,NA,NA,FALSE,1,"211","212","left",0.34,"narrow","right",0.45,"wide","L","=","away.from.trunk"
"59","6/21/21","21-SP3","1B","1","B",NA,"212",NA,NA,NA,FALSE,1,"21","2121","main",0.45,"wide","left",0.45,"wide","L","W","away.from.trunk"
"60","6/21/21","21-SP3","1B","1","B",NA,"212",NA,NA,NA,FALSE,1,"2121","2122","left",0.45,"wide","right",0.34,"narrow","L","N","away.from.trunk"
"61","6/21/21","21-SP3","1B","1","B",NA,"212",NA,NA,NA,FALSE,1,"2122","21","right",0.34,"narrow","main",0.45,"wide","L","=","to.trunk"
"62","6/21/21","21-SP3","1B","1","B",NA,"21",NA,NA,NA,FALSE,1,"212","20","right",0.45,"wide","main",0.45,"wide","L","W","to.trunk"
"63","6/21/21","21-SP3","1B","1","B",NA,"20",NA,NA,NA,FALSE,1,"21","22","left",0.45,"wide","right",0.34,"narrow","L","N","away.from.trunk"
"64","6/21/21","21-SP3","1B","1","B",NA,"22",NA,NA,NA,FALSE,1,"20","222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"65","6/21/21","21-SP3","1B","1","B",NA,"222",NA,NA,NA,FALSE,1,"22","22","main",0.34,"wide","main",0.34,"wide","U",NA,NA
