"Junction","Direction.From","Width.From","Node.From","Rel.Width.From","Direction.To","Width.To","Node.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk","Junction.Handedness","Turn.Angle","isUTurn","isSharpTurn","sharpIsLeft","Angle.From","Sharp.Turn.Prob","U.Turn.Prob","Turn.Probability"
"4","right",0.6,"6","wide","right",0.6,"6","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"5","main",0.6,"7","wide","main",0.6,"7","wide","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"main",0.546816897212879,0.247988620209972,0.247988620209972
"5","main",0.6,"7","wide","left",0.6,"3","wide","L","W","away.from.trunk","RH","shallow",FALSE,FALSE,FALSE,"main",0.546816897212879,0.247988620209972,0.340798850424469
"5","main",0.6,"7","wide","right",0.45,"50","narrow","R","N","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"main",0.546816897212879,0.247988620209972,0.411212529365559
"5","left",0.6,"3","wide","main",0.6,"7","wide","R","W","to.trunk","RH","shallow",FALSE,FALSE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.658686902582582
"5","left",0.6,"3","wide","left",0.6,"3","wide","U",NA,NA,"RH",NA,TRUE,NA,TRUE,"shallow",0.216314789637616,0.159500659355306,0.159500659355306
"5","left",0.6,"3","wide","right",0.45,"50","narrow","L","N","away.from.trunk","RH","sharp",FALSE,TRUE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.181812438062112
"5","right",0.45,"50","narrow","main",0.6,"7","wide","L","=","to.trunk","RH","shallow",FALSE,FALSE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.391336807201602
"5","right",0.45,"50","narrow","left",0.6,"3","wide","R","=","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.528109917150166
"5","right",0.45,"50","narrow","right",0.45,"50","narrow","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.0805532756482322
"6","main",0.6,"4","wide","main",0.6,"4","wide","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"main",0.546816897212879,0.247988620209972,0.247988620209972
"6","main",0.6,"4","wide","left",0.6,"8","wide","L","W","away.from.trunk","RH","shallow",FALSE,FALSE,FALSE,"main",0.546816897212879,0.247988620209972,0.340798850424469
"6","main",0.6,"4","wide","right",0.45,"60","narrow","R","N","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"main",0.546816897212879,0.247988620209972,0.411212529365559
"6","left",0.6,"8","wide","main",0.6,"4","wide","R","W","to.trunk","RH","shallow",FALSE,FALSE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.658686902582582
"6","left",0.6,"8","wide","left",0.6,"8","wide","U",NA,NA,"RH",NA,TRUE,NA,TRUE,"shallow",0.216314789637616,0.159500659355306,0.159500659355306
"6","left",0.6,"8","wide","right",0.45,"60","narrow","L","N","away.from.trunk","RH","sharp",FALSE,TRUE,TRUE,"shallow",0.216314789637616,0.159500659355306,0.181812438062112
"6","right",0.45,"60","narrow","main",0.6,"4","wide","L","=","to.trunk","RH","shallow",FALSE,FALSE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.391336807201602
"6","right",0.45,"60","narrow","left",0.6,"8","wide","R","=","away.from.trunk","RH","sharp",FALSE,TRUE,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.528109917150166
"6","right",0.45,"60","narrow","right",0.45,"60","narrow","U",NA,NA,"RH",NA,TRUE,NA,FALSE,"sharp",0.574377941824194,0.0805532756482322,0.0805532756482322
"7","main",0.6,"71","wide","main",0.6,"71","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"7","main",0.6,"71","wide","left",0.45,"72","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"7","main",0.6,"71","wide","right",0.6,"5","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"7","left",0.45,"72","narrow","main",0.6,"71","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"7","left",0.45,"72","narrow","left",0.45,"72","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"7","left",0.45,"72","narrow","right",0.6,"5","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"7","right",0.6,"5","wide","main",0.6,"71","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"7","right",0.6,"5","wide","left",0.45,"72","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"7","right",0.6,"5","wide","right",0.6,"5","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"8","main",0.6,"6","wide","main",0.6,"6","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"8","main",0.6,"6","wide","left",0.45,"81","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"8","main",0.6,"6","wide","right",0.6,"82","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"8","left",0.45,"81","narrow","main",0.6,"6","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"8","left",0.45,"81","narrow","left",0.45,"81","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"8","left",0.45,"81","narrow","right",0.6,"82","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"8","right",0.6,"82","wide","main",0.6,"6","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"8","right",0.6,"82","wide","left",0.45,"81","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"8","right",0.6,"82","wide","right",0.6,"82","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"10","main",0.45,"1","wide","main",0.45,"1","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"10","main",0.45,"1","wide","left",0.34,"11","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"10","main",0.45,"1","wide","right",0.45,"12","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"10","left",0.34,"11","narrow","main",0.45,"1","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"10","left",0.34,"11","narrow","left",0.34,"11","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"10","left",0.34,"11","narrow","right",0.45,"12","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"10","right",0.45,"12","wide","main",0.45,"1","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"10","right",0.45,"12","wide","left",0.34,"11","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"10","right",0.45,"12","wide","right",0.45,"12","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
